Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,Class,CoinName
X11,PoW/PoS,24387724.5,139000000.0,-0.39793147515833044,1.2394119354284283,-0.477985272657575,0,BitSend
Scrypt,PoW,616448.0,616448.0,-0.1678993916172965,-1.1517306623768069,-0.0681508287398876,1,Omni
POS 3.0,PoS,38589808.67,33500000.0,-0.32870146067526257,1.6341245544202854,0.057293785480849936,0,Let it Ride
Scrypt,PoW/PoS,813092338.6,2000000000.0,-0.3120807572940104,1.017737338582893,-0.592714696799249,0,PutinCoin
Scrypt,PoW/PoS,4526324.0,44333333.0,-0.33583395854137127,1.018554015877913,-0.5922285877114682,0,iBankCoin
Scrypt,PoW/PoS,100000000.0,100000000.0,-0.3342721244231057,1.018553024117659,-0.5922714656184809,0,Frankywillcoin
X13,PoS,5000000.0,200000000.0,-0.22072294790012922,1.6379743852048672,-0.18565451351532314,0,MudraCoin
X11,PoW,1377917.0,25000000.0,-0.23072882509654616,-0.9308403343499968,0.04610596486492205,1,PizzaCoin
X11,PoS,657000000.0,657000000.0,-0.33713945999415795,1.015450268736584,-0.1241549167046661,0,Lutetium Coin
Equihash,dPoW/PoW,115898131.0,200000000.0,-0.2176050903536642,-1.4617393946866395,0.4665704449883096,1,Komodo
X11,PoW/PoS,15563873.0,50000000.0,-0.3986705184025108,1.2394576928491443,-0.4779743619368174,0,GoldBlocks
Scrypt,PoW/PoS,43165500.0,90000000.0,-0.3350377764643425,1.0185410141480402,-0.5922478579347313,0,CarterCoin
CryptoNight,PoW,7822432.724,10000000.0,0.3013682590057284,-2.3243436273721536,0.37535386218450006,1,Karbo
SHA-256,PoW/PoS,595429.0,21000000.0,-0.3115058870154811,0.9031114599364599,-0.32058150253358414,0,BitTokens
SHA-256,PoW,6243840.0,9736000.0,-0.14322432783887507,-1.2671879558064891,0.20348973659880307,1,ZayedCoin
X11,PoW/PoS,657636.3455,3000000.0,-0.3991860500603756,1.2394787098560285,-0.47796449334349306,0,MustangCoin
Scrypt,PoW/PoS,2581970.0,21000000.0,-0.33602320443124656,1.018566125542088,-0.5922258751233389,0,ZoneCoin
Multiple,PoW,1000000000.0,1200000000.0,-0.10380324526775148,-1.803877384194029,0.3405420017664567,1,Circuits of Value
Scrypt,PoW/PoS,1939889.0,0.0,-0.33617998376633795,1.0185773644936424,-0.5922238778125942,0,RootCoin
Scrypt,PoW,116845228.0,200000000.0,-0.16506462050008255,-1.1518035447332495,-0.0682139329812616,1,DopeCoin
Scrypt,PoS,169598616.0,0.0,-0.28474508384142905,0.7947549870066279,-0.2381642504487287,0,BitCurrency
SHA-256,PoW,9106714.0,10638298.0,-0.1431829336439573,-1.2671875678954327,0.2034885144055317,1,DollarCoin
Scrypt,PoW/PoW,665200057.0,3100000000.0,-0.25213055557881553,0.15537628955371613,-0.4908349439879863,0,Swiscoin
Scrypt,PoW,11119200.0,30000000.0,-0.1675626219443088,-1.1517434382946974,-0.0681574728071097,1,Shilling
SHA-256D,PoW/PoS,19577787259.0,20000000000.0,0.023513201879625464,1.972200586656705,-0.7229305080214302,0,BuzzCoin
PoS,PoS,74033806.79,74000000.0,-0.3645059077260386,1.506474486138211,-0.03400051628544958,0,Opair
Scrypt,PoW/PoS,33522957.0,0.0,-0.3357939191537974,1.0185870647003215,-0.5922365362288902,0,PesoBit
X11,PoW/PoS,264678458.3,1500000000.0,-0.3853420868917333,1.2387445648562645,-0.4781943469793914,0,Halloween Coin
Lyra2Z,PoW,7568281.25,21400000.0,-0.14718106758968236,-2.172197592006077,0.4304863722549572,1,ZCoin
PoS,PoS,148716816.0,39999898.0,-0.36383412530518044,1.5065159395014789,-0.03402763195594469,0,CoffeeCoin
X13,PoS,2500124.0,2500124.0,-0.22215416250839795,1.6380811716659887,-0.18563714761309216,0,RoyalCoin
X14,PoW/PoS,100000000.0,100000000.0,-0.3614248376524118,2.039012104691337,-0.4987441672971176,0,GanjaCoin V2
PoS,PoS,17818682.17,301000000.0,-0.3635831996051615,1.5063336012112127,-0.03399679360782825,0,TeamUP
SHA-256D,PoW/PoS,1082162636.0,7506000000.0,-0.2911799849767349,1.973323935672774,-0.7144823099104616,0,LanaCoin
Ethash,PoW,26205539.0,26205539.0,-0.13584903383111088,-1.9748131761955592,0.42692604087392216,1,Elementrem
Equihash,PoW,5613550.0,21000000.0,-0.141167800908239,-2.0490439122312956,0.3654072887609522,1,ZClassic
DPoS,DPoS,108202084.0,125000000.0,3.7080147406509885,2.042310210567631,-0.24009459664604843,0,ARK
X11,PoW/PoS,18342813.0,30000000.0,-0.39877838797769566,1.2394694379307512,-0.4779738186184462,0,InsaneCoin
Scrypt,PoW,196297971.0,10000000000.0,-0.09459242544607321,-1.1571160149193775,-0.06905776169722024,1,KiloCoin
X11,PoW,824000000.0,500000000.0,-0.2173046001082822,-0.930846354805968,0.04573690356944058,1,ArtexCoin
X13,PoW/PoS,92192822723.0,850000000.0,0.8613854005372686,1.8898082149644708,-0.5767838477298336,0,EmberCoin
X11,PoW/PoS,3853326.777,3853326.777,-0.3991409348899934,1.2394792266547314,-0.4779658448712376,0,XenixCoin
PoS,PoS,50000000.0,50000000.0,-0.3649698982836796,1.5064801744522576,-0.03398889506169566,0,FreeCoin
Scrypt,PoW/PoS,17089600.0,38540000.0,-0.3357214737169562,1.0185610294028904,-0.592233143032007,0,PLNCoin
Scrypt,PoW/PoS,2449577.415,42000000.0,-0.33587589209424823,1.0185546487240313,-0.5922275620269678,0,AquariusCoin
X11,PoW,61364813.0,228000000.0,-0.2285558950200313,-0.9309324598936776,0.04606510259016067,1,Kurrent
PoS,PoS,20000000.0,20000000.0,-0.36554936992209247,1.5064872978237946,-0.03397438546910203,0,Creatio
X11,PoW/PoS,6069482.077,60000000.0,-0.39871565642050566,1.2394493310185708,-0.4779713851635493,0,Eternity
SHA-256,PoW/PoS,12416554.0,20000000.0,-0.3113684800695572,0.90311563517449,-0.3205861575559939,0,Eurocoin
Scrypt,PoW/PoS,20244023.64,33000000.0,-0.33572220405317255,1.0185650151977552,-0.5922339482976069,0,BitcoinFast
X11,TPoS,75590369.0,76500000.0,-0.3895691032947024,0.5084224850076373,-0.2201557458061574,0,Stakenet
Scrypt,PoW/PoS,11080722.38,28000000.0,-0.3358696739563869,1.0185649237385779,-0.592229861391227,0,BitConnect Coin
Scrypt,PoW/PoS,10914418.0,650659833.0,-0.33145584256440297,1.018225785283535,-0.5922813855509443,0,MoneyCoin
X11,PoW/PoS,814671.0,5000000.0,-0.3991699466287742,1.2394776689288687,-0.4779647219936694,0,Enigma
CryptoNight,PoW,978145.0,21000000.0,0.3013626072146844,-2.324351719847076,0.3753556939473615,1,Cannabis Industry Coin
Scrypt,PoW/PoS,8377873.0,144000000.0,-0.33508004832114946,1.018500922457066,-0.5922383893379723,0,Russiacoin
Scrypt,PoS,33813143822.0,32514916898.0,0.35710009747205584,0.7873810983701122,-0.25434254182396326,0,PandaCoin
